ip,prefix,as_number,country_code,description
199.203.63.53,199.203.22.0/23,1680,IL,NV-ASN 013 NetVision Ltd.
50.51.72.97,50.50.134.0/23,5650,US,"FRONTIER-FRTR - Frontier Communications of America, Inc."
63.131.206.210,63.131.192.0/20,26133,US,FEWPB - Frankfort Plant Board
185.57.28.71,185.57.28.0/24,44724,RU,OCTOPUSNET-AS
35.156.176.201,35.156.0.0/14,16509,US,"AMAZON-02 - Amazon.com, Inc."
70.92.67.52,70.92.64.0/19,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
193.243.174.67,193.243.172.0/22,197018,RU,ASMJKTELECOM
98.5.245.61,98.4.0.0/15,11351,US,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
93.140.53.233,93.140.0.0/16,5391,HR,T-HT Croatian Telecom Inc.
201.82.60.148,201.82.0.0/16,28573,BR,CLARO S.A.
104.44.195.73,104.44.113.0/24,8075,Unknown,AS8075
74.137.136.41,74.128.0.0/13,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
173.238.148.232,173.238.0.0/16,7992,CA,COGECOWAVE - Cogeco Cable
63.130.77.186,63.130.0.0/18,1273,EU,CW Vodafone Group PLC
78.188.168.150,78.188.168.0/24,9121,TR,TTNET
172.98.67.110,172.98.67.0/24,46562,US,TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.
24.55.249.170,24.55.192.0/18,7992,CA,COGECOWAVE - Cogeco Cable
177.64.194.7,177.64.192.0/19,28573,BR,CLARO S.A.
76.217.166.49,76.216.132.0/22,7018,US,"ATT-INTERNET4 - AT&T Services, Inc."
62.210.108.216,62.210.0.0/16,12876,FR,AS12876
75.83.59.237,75.82.0.0/15,20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
196.52.2.50,196.52.2.0/24,32780,US,"HOSTINGSERVICES-INC - Hosting Services, Inc."
78.142.29.169,78.142.29.0/24,206349,BG,AS206349
98.148.98.40,98.148.0.0/15,20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
24.165.153.201,24.165.128.0/18,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
167.114.210.142,167.114.192.0/19,16276,FR,OVH
98.143.76.75,98.143.64.0/20,7057,CA,MANAGEDNETWORK - Managed Network Systems Inc.
24.105.44.99,24.105.40.0/21,57976,EU,BLIZZEU-AS
24.210.208.255,24.210.128.0/17,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
108.247.54.209,108.244.192.0/18,7018,US,"ATT-INTERNET4 - AT&T Services, Inc."
209.58.146.198,209.58.144.0/20,394380,US,"LEASEWEB-USA-DAL-10 - Leaseweb USA, Inc."
142.112.235.153,142.112.0.0/16,577,CA,BACOM - Bell Canada
109.236.84.91,109.236.80.0/20,49981,NL,WORLDSTREAM +++ Transit Imports
93.78.100.45,93.78.96.0/20,25229,UA,VOLIA-AS
5.63.151.12,5.63.144.0/21,29302,EU,HSI-EUROPE
98.143.76.75,98.143.64.0/20,7057,CA,MANAGEDNETWORK - Managed Network Systems Inc.
34.201.49.85,34.192.0.0/12,14618,US,"AMAZON-AES - Amazon.com, Inc."
59.55.137.188,59.55.128.0/19,4134,CN,"CHINANET-BACKBONE No.31,Jin-rong Street"
85.105.180.25,85.105.180.0/22,9121,TR,TTNET
167.114.0.174,167.114.0.0/17,16276,FR,OVH
108.61.68.147,108.61.64.0/19,20473,US,"AS-CHOOPA - Choopa, LLC"
82.145.48.49,82.145.32.0/19,20860,GB,IOMART-AS
24.105.44.101,24.105.40.0/21,57976,EU,BLIZZEU-AS
112.209.7.189,112.209.0.0/19,9299,PH,IPG-AS-AP Philippine Long Distance Telephone Company
36.85.15.236,36.85.0.0/20,17974,ID,TELKOMNET-AS2-AP PT Telekomunikasi Indonesia
182.183.161.205,182.183.128.0/17,45595,PK,PKTELECOM-AS-PK Pakistan Telecom Company Limited
180.177.68.60,180.177.0.0/16,9924,Unknown,AS9924
82.145.48.49,82.145.32.0/19,20860,GB,IOMART-AS
24.200.123.13,24.200.64.0/18,5769,CA,VIDEOTRON - Videotron Telecom Ltee
183.100.77.239,183.99.66.0/23,4766,KR,KIXS-AS-KR Korea Telecom
76.94.76.126,76.94.0.0/15,20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
31.31.105.76,31.31.96.0/19,6876,UA,TENET-AS
67.175.22.132,67.172.48.0/20,7922,US,"COMCAST-7922 - Comcast Cable Communications, LLC"
87.120.36.11,87.120.36.0/24,58277,UA,LOCODIGITAL-AS
162.221.124.239,162.221.120.0/21,54614,CA,CIKTELECOM-CABLE - CIK Telecom INC
154.241.83.103,154.241.0.0/16,36947,DZ,ALGTEL-AS
104.200.159.2,104.200.159.0/24,46562,US,TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.
158.222.69.213,158.222.64.0/20,22316,US,COTCCONNECTIONS - COTC Connections
209.251.245.247,209.251.245.0/24,64241,US,"WOBSCALE - Wobscale Technologies, LLC"
14.207.75.169,14.207.0.0/17,45629,TH,JASTEL-NETWORK-TH-AP JasTel Network International Gateway
109.189.86.133,109.189.0.0/16,2119,NO,TELENOR-NEXTEL Telenor Norge AS
45.63.73.12,45.63.64.0/20,20473,US,"AS-CHOOPA - Choopa, LLC"
115.51.116.68,115.48.0.0/12,4837,CN,CHINA169-BACKBONE CNCGROUP China169 Backbone
75.80.14.72,75.80.0.0/18,20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
63.143.199.14,63.143.128.0/17,6128,US,CABLE-NET-1 - Cablevision Systems Corp.
75.132.114.48,75.132.0.0/16,20115,US,CHARTER-NET-HKY-NC - Charter Communications
173.194.162.135,173.194.143.0/24,15169,US,GOOGLE - Google Inc.
104.44.195.73,104.44.113.0/24,8075,Unknown,AS8075
179.234.96.40,179.234.96.0/20,28573,BR,CLARO S.A.
45.3.11.40,45.3.0.0/19,40788,CA,START-CA - Start Communications
23.31.122.180,23.30.0.0/15,7922,US,"COMCAST-7922 - Comcast Cable Communications, LLC"
118.211.5.137,118.211.0.0/20,4739,AU,INTERNODE-AS Internode Pty Ltd
98.196.41.239,98.192.0.0/12,7922,US,"COMCAST-7922 - Comcast Cable Communications, LLC"
184.75.213.36,184.75.213.0/24,32489,CA,AMANAHA-NEW - Amanah Tech Inc.
114.221.251.147,114.221.0.0/16,4134,CN,"CHINANET-BACKBONE No.31,Jin-rong Street"
98.24.25.18,98.24.0.0/15,11426,US,SCRR-11426 - Time Warner Cable Internet LLC
118.74.229.165,118.72.0.0/13,4837,CN,CHINA169-BACKBONE CNCGROUP China169 Backbone
179.60.192.54,179.60.192.0/24,32934,US,"FACEBOOK - Facebook, Inc."
81.26.169.217,81.26.160.0/20,12843,DE,TELEMAXX
190.96.196.73,190.96.192.0/21,22368,CO,TELEBUCARAMANGA S.A. E.S.P.
73.14.9.146,73.5.0.0/16,7922,US,"COMCAST-7922 - Comcast Cable Communications, LLC"
100.42.105.7,100.42.105.0/24,33353,US,"GAIKAI - Gaikai, Inc."
184.75.213.36,184.75.213.0/24,32489,CA,AMANAHA-NEW - Amanah Tech Inc.
78.186.152.251,78.186.152.0/24,9121,TR,TTNET
73.252.144.102,73.250.0.0/15,7922,US,"COMCAST-7922 - Comcast Cable Communications, LLC"
195.154.162.72,195.154.0.0/16,12876,FR,AS12876
173.238.148.232,173.238.0.0/16,7992,CA,COGECOWAVE - Cogeco Cable
173.194.162.135,173.194.143.0/24,15169,US,GOOGLE - Google Inc.
74.56.31.81,74.56.0.0/18,5769,CA,VIDEOTRON - Videotron Telecom Ltee
72.222.201.63,72.222.128.0/17,22773,US,ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.
198.255.93.12,198.255.92.0/23,174,US,COGENT-174 - Cogent Communications
144.217.39.201,144.217.0.0/16,16276,FR,OVH
24.159.4.182,24.159.0.0/20,20115,US,CHARTER-NET-HKY-NC - Charter Communications
112.41.24.191,112.40.0.0/15,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
88.247.119.80,88.247.116.0/22,9121,TR,TTNET
198.47.108.199,198.47.108.0/23,3257,DE,GTT-BACKBONE GTT
54.89.126.244,54.89.0.0/16,14618,US,"AMAZON-AES - Amazon.com, Inc."
24.202.131.51,24.202.128.0/18,5769,CA,VIDEOTRON - Videotron Telecom Ltee
24.105.44.242,24.105.40.0/21,57976,EU,BLIZZEU-AS
73.249.246.236,73.249.0.0/16,7015,US,"COMCAST-7015 - Comcast Cable Communications, LLC"
172.98.67.10,172.98.67.0/24,46562,US,TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.
24.114.54.7,24.114.46.0/23,812,CA,ROGERS-CABLE - Rogers Cable Communications Inc.
98.14.199.49,98.14.0.0/16,12271,US,SCRR-12271 - Time Warner Cable Internet LLC
93.140.53.233,93.140.0.0/16,5391,HR,T-HT Croatian Telecom Inc.
129.0.45.234,129.0.43.0/24,30992,CM,MTN-NS-CAMEROON
216.66.6.34,216.66.6.0/24,395332,US,"RABBIT - Rabbit, Inc."
104.44.195.70,104.44.113.0/24,8075,Unknown,AS8075
70.92.171.236,70.92.128.0/18,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
63.130.77.186,63.130.0.0/18,1273,EU,CW Vodafone Group PLC
216.155.156.240,216.155.128.0/19,20473,US,"AS-CHOOPA - Choopa, LLC"
182.33.95.4,182.32.0.0/12,4134,CN,"CHINANET-BACKBONE No.31,Jin-rong Street"
198.255.93.12,198.255.92.0/23,174,US,COGENT-174 - Cogent Communications
173.209.61.62,173.209.32.0/19,36666,CA,GTCOMM - GloboTech Communications
71.69.241.114,71.68.0.0/15,11426,US,SCRR-11426 - Time Warner Cable Internet LLC
95.76.3.208,95.76.0.0/16,6830,AT,LGI-UPC formerly known as UPC Broadband Holding B.V.
94.48.75.45,94.48.64.0/19,25019,SA,SAUDINETSTC-AS
208.77.2.170,208.77.2.0/24,3356,US,"LEVEL3 - Level 3 Communications, Inc."
124.83.21.154,124.83.16.0/20,9299,PH,IPG-AS-AP Philippine Long Distance Telephone Company
99.62.189.79,99.56.0.0/13,7018,US,"ATT-INTERNET4 - AT&T Services, Inc."
69.174.216.40,69.174.216.0/23,13720,US,"SONYONLINE - Sony Online Entertainment, LLC"
94.30.165.187,94.30.128.0/19,20910,LV,BALTKOM-AS
78.188.29.249,78.188.28.0/22,9121,TR,TTNET
190.9.64.60,190.9.64.0/24,11581,CO,TRANSTEL S.A.
221.213.45.174,221.213.0.0/16,4837,CN,CHINA169-BACKBONE CNCGROUP China169 Backbone
184.75.213.36,184.75.213.0/24,32489,CA,AMANAHA-NEW - Amanah Tech Inc.
192.64.170.111,192.64.170.0/24,6507,US,"RIOT-NA1 - Riot Games, Inc"
184.149.7.121,184.149.0.0/16,577,CA,BACOM - Bell Canada
72.182.235.148,72.176.0.0/14,11427,US,SCRR-11427 - Time Warner Cable Internet LLC
173.194.162.135,173.194.143.0/24,15169,US,GOOGLE - Google Inc.
73.19.195.195,73.18.0.0/15,7922,US,"COMCAST-7922 - Comcast Cable Communications, LLC"
72.39.53.99,72.38.0.0/15,7992,CA,COGECOWAVE - Cogeco Cable
5.76.96.190,5.76.96.0/22,9198,KZ,KAZTELECOM-AS
99.71.156.93,99.64.0.0/11,7018,US,"ATT-INTERNET4 - AT&T Services, Inc."
98.150.121.102,98.150.0.0/17,20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
94.245.60.42,94.245.48.0/20,28908,SE,T3 http://www.t3.se/
104.44.195.73,104.44.113.0/24,8075,Unknown,AS8075
